,Customer ID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment,2ndHalfYearRevenue
0,12346,89,1,10,0,13.55,0,1,Low-Value,-178.79
1,16296,68,1,64,0,869.97,0,1,Low-Value,0.0
2,18171,73,1,19,0,607.75,0,1,Low-Value,598.25
3,13557,66,1,74,0,1102.0,0,1,Low-Value,880.52
4,18051,76,1,46,0,1574.88,0,1,Low-Value,0.0
5,16017,73,1,64,0,927.35,0,1,Low-Value,406.35
6,16467,75,1,19,0,2343.96,0,1,Low-Value,387.32
7,12978,87,1,77,0,1000.88,0,1,Low-Value,556.36
8,12648,82,1,18,0,311.8,0,1,Low-Value,467.15
9,14769,68,1,85,0,1148.35,0,1,Low-Value,3273.92
10,14327,72,1,56,0,945.32,0,1,Low-Value,637.96
11,18170,83,1,35,0,874.0500000000001,0,1,Low-Value,1023.64
12,16109,89,1,14,0,311.7,0,1,Low-Value,0.0
13,17539,59,1,90,0,638.34,0,1,Low-Value,0.0
14,16787,63,1,90,0,687.26,0,1,Low-Value,330.27000000000004
15,13709,60,1,32,0,487.89000000000004,0,1,Low-Value,775.8100000000001
16,12510,60,1,62,0,1517.66,0,1,Low-Value,781.22
17,12533,60,1,41,0,250.47,0,1,Low-Value,0.0
18,15549,65,1,28,0,380.65,0,1,Low-Value,272.05
19,18252,65,1,14,0,346.95,0,1,Low-Value,178.5
20,16569,73,1,19,0,908.88,0,1,Low-Value,0.0
21,15380,66,1,4,0,456.12,0,1,Low-Value,842.1
22,17165,67,1,34,0,562.32,0,1,Low-Value,689.71
23,14146,75,1,84,0,1433.61,0,1,Low-Value,5067.12
24,13787,94,1,33,0,390.88,0,1,Low-Value,580.18
25,14466,91,1,54,0,674.5,0,1,Low-Value,1482.2
26,15810,69,1,43,0,844.25,0,1,Low-Value,757.86
27,14290,83,1,27,0,399.5,0,1,Low-Value,1441.76
28,14136,86,1,42,0,600.55,0,1,Low-Value,661.58
29,18106,91,1,91,0,599.13,0,1,Low-Value,420.03000000000003
30,12755,76,1,48,0,0.0,0,1,Low-Value,4411.9
31,16452,72,1,18,0,332.17,0,1,Low-Value,0.0
32,17227,74,1,23,0,377.55,0,1,Low-Value,704.3100000000001
33,15224,75,1,14,0,366.7,0,1,Low-Value,470.56
34,16510,65,1,59,0,914.78,0,1,Low-Value,862.72
35,17213,82,1,44,0,697.95,0,1,Low-Value,1335.2
36,16434,59,1,37,0,632.38,0,1,Low-Value,514.81
37,14949,90,1,15,0,231.61,0,1,Low-Value,180.48000000000002
38,13110,95,1,32,0,317.52000000000004,0,1,Low-Value,763.0
39,18037,67,1,7,0,42.5,0,1,Low-Value,58.55
40,16287,83,1,14,0,364.32,0,1,Low-Value,500.16
41,15198,59,1,16,0,207.31,0,1,Low-Value,158.5
42,13074,59,1,14,0,733.04,0,1,Low-Value,316.5
43,15623,70,1,31,0,809.78,0,1,Low-Value,1019.0400000000001
44,13462,79,1,22,0,354.64,0,1,Low-Value,475.89
45,16156,86,1,30,0,671.6700000000001,0,1,Low-Value,1855.0
46,16727,63,1,84,0,808.69,0,1,Low-Value,569.08
47,17220,81,1,99,0,634.9399999999999,0,1,Low-Value,952.32
48,16933,80,1,91,0,931.82,0,1,Low-Value,1006.26
49,17526,70,1,9,0,401.3299999999999,0,1,Low-Value,1836.49
50,12986,83,1,25,0,760.72,0,1,Low-Value,1237.6200000000001
51,13543,76,1,47,0,1439.6100000000001,0,1,Low-Value,0.0
52,13413,81,1,45,0,345.8,0,1,Low-Value,0.0
53,15863,59,1,20,0,148.96,0,1,Low-Value,0.0
54,13889,93,1,35,0,630.68,0,1,Low-Value,808.1500000000001
55,14037,86,1,14,0,231.49,0,1,Low-Value,270.73
56,16950,91,1,26,0,640.57,0,1,Low-Value,1835.46
57,12703,75,1,62,0,617.48,0,1,Low-Value,0.0
58,14396,91,1,93,0,632.72,0,1,Low-Value,451.55
59,14870,75,1,30,0,718.6,0,1,Low-Value,748.75
60,15858,73,1,69,0,702.6800000000001,0,1,Low-Value,1523.7
61,17419,62,1,15,0,380.17,0,1,Low-Value,1893.78
62,14628,83,1,38,0,693.73,0,1,Low-Value,632.31
63,17218,58,1,70,0,673.09,0,1,Low-Value,1867.61
64,15950,87,1,80,0,1267.96,0,1,Low-Value,4355.11
65,13459,66,1,73,0,1160.4099999999999,0,1,Low-Value,0.0
66,17075,73,1,54,0,570.38,0,1,Low-Value,644.43
67,16791,82,1,60,0,406.18,0,1,Low-Value,1463.68
68,17726,94,1,17,0,235.27,0,1,Low-Value,854.29
69,17672,83,1,53,0,1449.16,0,1,Low-Value,1151.3
70,12497,86,1,18,0,1175.01,0,1,Low-Value,3993.6400000000003
71,13941,60,1,17,0,1915.1100000000001,0,1,Low-Value,3237.53
72,15798,87,1,64,0,1124.66,0,1,Low-Value,410.71000000000004
73,13008,82,1,2,0,-7.6499999999999995,0,1,Low-Value,142.35
74,14167,66,1,28,0,324.3,0,1,Low-Value,387.4
75,12484,91,1,69,0,705.15,0,1,Low-Value,1105.13
76,17809,76,1,10,0,1371.23,0,1,Low-Value,3738.3
77,13820,88,1,43,0,366.27,0,1,Low-Value,266.23
78,15602,66,1,13,0,266.1,0,1,Low-Value,1377.14
79,14558,94,1,6,0,323.54999999999995,0,1,Low-Value,0.0
80,14469,61,1,65,0,1123.77,0,1,Low-Value,969.69
81,14796,59,1,73,0,470.59000000000003,0,1,Low-Value,2406.16
82,17191,65,1,71,0,632.73,0,1,Low-Value,1806.8
83,17603,59,1,86,0,990.36,0,1,Low-Value,0.0
84,15943,91,1,12,0,271.28999999999996,0,1,Low-Value,0.0
85,15751,84,1,26,0,207.73000000000002,0,1,Low-Value,550.57
86,14821,73,1,6,0,293.65,0,1,Low-Value,936.5
87,17211,91,1,46,0,533.45,0,1,Low-Value,945.84
88,15279,72,1,40,0,652.93,0,1,Low-Value,901.91
89,17690,74,1,39,0,765.37,0,1,Low-Value,2159.53
90,12840,60,1,13,0,134.4,0,1,Low-Value,1165.2
91,12373,66,1,37,0,763.0500000000001,0,1,Low-Value,0.0
92,14307,68,1,52,0,794.66,0,1,Low-Value,1038.55
93,13823,80,1,46,0,839.19,0,1,Low-Value,1170.15
94,13658,69,1,57,0,946.53,0,1,Low-Value,2404.07
95,16704,60,1,54,0,664.16,0,1,Low-Value,0.0
96,14682,65,1,25,0,469.22,0,1,Low-Value,993.59
97,16212,60,1,37,0,603.37,0,1,Low-Value,0.0
98,14227,61,1,34,0,431.88,0,1,Low-Value,2579.7200000000003
99,13497,67,1,27,0,582.23,0,1,Low-Value,363.05
100,15339,64,1,55,0,289.88,0,1,Low-Value,779.8199999999999
101,12524,67,1,20,0,2282.58,0,1,Low-Value,4323.06
102,16551,59,1,29,0,668.46,0,1,Low-Value,353.56
103,12370,66,1,35,0,774.62,0,1,Low-Value,1864.27
104,17577,87,1,21,0,348.75,0,1,Low-Value,0.0
105,12645,88,1,43,0,826.34,0,1,Low-Value,917.38
106,15953,91,1,17,0,258.01,0,1,Low-Value,1240.59
107,17731,63,1,32,0,468.88,0,1,Low-Value,0.0
