,Customer ID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,RFM value,Segment
0,13085,157,2,92,0,1459.46,0,2,Low-Value
1,16714,218,2,114,0,1222.24,0,2,Low-Value
2,17984,144,2,242,0,1152.19,0,2,Low-Value
3,16955,184,2,53,0,1072.06,0,2,Low-Value
4,18037,153,2,33,0,167.42,0,2,Low-Value
5,13711,218,2,103,0,1632.6100000000001,0,2,Low-Value
6,15254,126,2,68,0,1073.4,0,2,Low-Value
7,16763,184,2,45,0,947.75,0,2,Low-Value
8,13819,301,2,104,0,2631.1,0,2,Low-Value
9,15265,150,2,193,0,3345.64,0,2,Low-Value
10,14000,205,2,52,0,1877.5900000000001,0,2,Low-Value
11,16823,226,2,174,0,2236.14,0,2,Low-Value
12,16163,224,2,80,0,1822.03,0,2,Low-Value
13,15759,217,2,20,0,810.98,0,2,Low-Value
14,15353,254,2,361,0,2772.57,0,2,Low-Value
15,12755,249,2,116,0,2611.95,0,2,Low-Value
16,12980,155,2,59,0,15909.390000000001,0,2,Low-Value
17,13740,240,2,94,0,1582.77,0,2,Low-Value
18,13070,191,2,35,0,743.9,0,2,Low-Value
19,18108,248,2,49,0,842.46,0,2,Low-Value
20,15917,247,2,142,0,530.17,0,2,Low-Value
21,17660,140,2,82,0,342.22,0,2,Low-Value
22,14483,149,2,14,0,249.2,0,2,Low-Value
23,13753,287,2,80,0,2094.57,0,2,Low-Value
24,17035,245,2,37,0,568.39,0,2,Low-Value
25,15658,189,2,118,0,1964.14,0,2,Low-Value
26,16159,281,2,53,0,1230.29,0,2,Low-Value
27,13485,232,2,162,0,2957.92,0,2,Low-Value
28,14905,153,2,81,0,1939.69,0,2,Low-Value
29,13531,204,2,75,0,1433.07,0,2,Low-Value
30,14958,146,2,71,0,941.99,0,2,Low-Value
31,13037,137,2,241,0,3842.55,0,2,Low-Value
32,13154,143,2,97,0,997.4300000000001,0,2,Low-Value
33,16883,186,2,268,0,2236.11,0,2,Low-Value
34,15109,240,2,51,0,961.9,0,2,Low-Value
35,12510,142,2,154,0,3689.33,0,2,Low-Value
36,17935,137,2,66,0,655.54,0,2,Low-Value
37,18071,257,2,71,0,1169.68,0,2,Low-Value
38,15223,225,2,46,0,1117.1,0,2,Low-Value
39,15057,274,2,71,0,3184.56,0,2,Low-Value
40,14867,185,2,140,0,2910.41,0,2,Low-Value
41,14133,129,2,38,0,895.8399999999999,0,2,Low-Value
42,14896,204,2,260,0,1727.3,0,2,Low-Value
43,17969,165,2,219,0,2235.54,0,2,Low-Value
44,14479,253,2,139,0,1124.71,0,2,Low-Value
45,14548,150,2,110,0,2541.29,0,2,Low-Value
46,15691,251,2,15,0,511.8,0,2,Low-Value
47,14828,196,2,102,0,9803.460000000001,0,2,Low-Value
48,14037,175,2,115,0,755.95,0,2,Low-Value
49,17508,280,2,232,0,4546.78,0,2,Low-Value
50,17707,184,2,25,0,605.0500000000001,0,2,Low-Value
51,15716,145,2,286,0,2485.26,0,2,Low-Value
52,14512,187,2,79,0,1215.97,0,2,Low-Value
53,14670,279,2,179,0,583.33,0,2,Low-Value
54,12424,162,2,97,0,3289.78,0,2,Low-Value
55,17457,126,2,72,0,5799.01,0,2,Low-Value
56,17990,236,2,58,0,1522.5700000000002,0,2,Low-Value
57,15369,143,2,104,0,1713.39,0,2,Low-Value
58,13382,280,2,86,0,1387.58,0,2,Low-Value
59,17854,184,2,118,0,1068.5,0,2,Low-Value
60,15079,212,2,150,0,3544.8,0,2,Low-Value
61,15456,282,2,227,0,2091.52,0,2,Low-Value
62,18203,156,2,59,0,492.52,0,2,Low-Value
63,17230,263,2,224,0,9159.45,0,2,Low-Value
64,16805,173,2,249,0,1091.34,0,2,Low-Value
65,13414,133,2,57,0,2482.24,0,2,Low-Value
66,15935,238,2,34,0,108.03999999999999,0,2,Low-Value
67,14817,199,2,234,0,3889.21,0,2,Low-Value
68,14267,150,2,68,0,1259.19,0,2,Low-Value
69,13672,300,2,28,0,162.07000000000002,0,2,Low-Value
70,12917,127,2,53,0,4329.5,0,2,Low-Value
71,15889,156,2,303,0,1417.15,0,2,Low-Value
72,15912,177,2,95,0,1074.7,0,2,Low-Value
73,15623,140,2,108,0,2437.05,0,2,Low-Value
74,15032,255,2,98,0,10515.05,0,2,Low-Value
75,15882,198,2,61,0,1098.5900000000001,0,2,Low-Value
76,16450,149,2,44,0,1475.73,0,2,Low-Value
77,17165,283,2,103,0,1783.63,0,2,Low-Value
78,18268,133,2,71,0,1451.22,0,2,Low-Value
79,14643,169,2,65,0,1654.69,0,2,Low-Value
80,17409,184,2,104,0,7793.51,0,2,Low-Value
81,16917,276,2,51,0,1842.93,0,2,Low-Value
82,14625,184,2,275,0,4429.18,0,2,Low-Value
83,14161,215,2,277,0,2996.93,0,2,Low-Value
84,15944,276,2,38,0,2164.24,0,2,Low-Value
85,16725,301,2,350,0,1676.86,0,2,Low-Value
86,15577,150,2,59,0,396.03000000000003,0,2,Low-Value
87,13462,182,2,72,0,1145.6,0,2,Low-Value
88,16769,259,2,97,0,1117.05,0,2,Low-Value
89,15920,153,2,107,0,569.14,0,2,Low-Value
90,17866,142,2,27,0,1131.0,0,2,Low-Value
91,18220,219,2,32,0,1771.7,0,2,Low-Value
92,12956,305,2,42,0,521.89,0,2,Low-Value
93,17646,218,2,205,0,3843.1600000000003,0,2,Low-Value
94,15713,142,2,54,0,814.84,0,2,Low-Value
95,16148,295,2,12,0,370.37,0,2,Low-Value
96,13781,250,2,58,0,770.88,0,2,Low-Value
97,18190,191,2,43,0,735.6700000000001,0,2,Low-Value
98,13082,125,2,134,0,7268.92,0,2,Low-Value
99,13821,144,2,205,0,1355.38,0,2,Low-Value
100,16792,281,2,102,0,623.46,0,2,Low-Value
101,13253,156,2,75,0,2951.11,0,2,Low-Value
102,13338,153,2,146,0,2223.62,0,2,Low-Value
103,17362,238,2,146,0,1010.54,0,2,Low-Value
104,17941,130,2,7,0,1433.28,0,2,Low-Value
105,14465,246,2,193,0,3925.85,0,2,Low-Value
106,12648,154,2,66,0,1097.0,0,2,Low-Value
107,14327,162,2,106,0,1894.93,0,2,Low-Value
108,14573,179,2,316,0,2113.42,0,2,Low-Value
109,16109,218,2,32,0,923.58,0,2,Low-Value
110,14532,235,2,315,0,3833.03,0,2,Low-Value
111,13762,203,2,42,0,2165.76,0,2,Low-Value
112,12875,142,2,8,0,1356.99,0,2,Low-Value
113,12623,275,2,175,0,3639.84,0,2,Low-Value
114,14241,183,2,12,0,333.70000000000005,0,2,Low-Value
115,14154,238,2,294,0,6263.6,0,2,Low-Value
116,17962,141,2,185,0,652.56,0,2,Low-Value
117,13929,168,2,60,0,3318.1,0,2,Low-Value
118,14256,253,2,138,0,2384.14,0,2,Low-Value
119,14423,217,2,16,0,914.9599999999999,0,2,Low-Value
120,12644,129,2,123,0,1815.54,0,2,Low-Value
121,17871,204,2,83,0,1068.95,0,2,Low-Value
122,17454,191,2,127,0,1532.64,0,2,Low-Value
123,15795,149,2,131,0,1979.8700000000001,0,2,Low-Value
124,16287,169,2,42,0,1006.98,0,2,Low-Value
125,12468,142,2,163,0,3624.55,0,2,Low-Value
126,12733,233,2,162,0,2326.82,0,2,Low-Value
127,17245,204,2,25,0,371.63,0,2,Low-Value
128,16634,222,2,107,0,1198.3,0,2,Low-Value
129,14431,298,2,85,0,2567.1,0,2,Low-Value
130,14320,206,2,93,0,1204.1200000000001,0,2,Low-Value
131,12916,138,2,174,0,4455.93,0,2,Low-Value
132,17142,238,2,89,0,1275.25,0,2,Low-Value
133,15483,160,2,269,0,817.8199999999999,0,2,Low-Value
134,14870,261,2,69,0,1794.6000000000001,0,2,Low-Value
135,15303,289,2,71,0,1178.78,0,2,Low-Value
136,12857,210,2,122,0,3684.25,0,2,Low-Value
137,17353,128,2,17,0,3155.55,0,2,Low-Value
138,17536,176,2,16,0,364.83,0,2,Low-Value
139,12361,286,2,29,0,511.25,0,2,Low-Value
140,12792,256,2,48,0,813.88,0,2,Low-Value
141,14079,124,2,13,0,618.73,0,2,Low-Value
142,12873,281,2,35,0,2027.3,0,2,Low-Value
143,15695,266,2,59,0,1131.04,0,2,Low-Value
144,15638,300,2,29,0,2137.2,0,2,Low-Value
145,17604,216,2,208,0,942.38,0,2,Low-Value
146,15389,171,2,6,0,2733.8,0,2,Low-Value
147,16320,171,2,243,0,4428.849999999999,0,2,Low-Value
148,13101,233,2,51,0,695.4,0,2,Low-Value
149,17695,131,2,62,0,1720.54,0,2,Low-Value
150,14672,234,2,106,0,1113.14,0,2,Low-Value
151,13583,155,2,96,0,1445.031,0,2,Low-Value
152,15182,153,2,128,0,2942.752,0,2,Low-Value
153,14481,164,2,151,0,1908.52,0,2,Low-Value
154,17176,201,2,42,0,902.3199999999999,0,2,Low-Value
155,15512,155,2,32,0,331.58,0,2,Low-Value
156,18064,132,2,68,0,4427.98,0,2,Low-Value
157,13584,306,2,85,0,340.4,0,2,Low-Value
158,16834,227,2,48,0,898.96,0,2,Low-Value
159,12840,143,2,181,0,4013.87,0,2,Low-Value
160,14497,300,2,42,0,679.16,0,2,Low-Value
161,15732,211,2,102,0,1499.42,0,2,Low-Value
162,17138,275,2,256,0,4417.27,0,2,Low-Value
163,16147,133,2,140,0,2367.02,0,2,Low-Value
164,14682,187,2,86,0,1514.81,0,2,Low-Value
165,17550,196,2,338,0,2165.54,0,2,Low-Value
166,17504,205,2,355,0,9238.42,0,2,Low-Value
167,13497,282,2,59,0,1139.83,0,2,Low-Value
168,16078,283,2,39,0,362.99,0,2,Low-Value
169,17514,127,2,83,0,522.0,0,2,Low-Value
170,16344,157,2,46,0,842.42,0,2,Low-Value
171,13976,206,2,56,0,1192.36,0,2,Low-Value
172,13291,155,2,318,0,3270.79,0,2,Low-Value
173,16553,162,2,296,0,16500.12,0,2,Low-Value
174,13223,199,2,13,0,969.1200000000001,0,2,Low-Value
175,17226,308,2,59,0,895.47,0,2,Low-Value
176,12976,211,2,154,0,3156.38,0,2,Low-Value
177,17955,198,2,22,0,949.9,0,2,Low-Value
178,15372,136,2,60,0,5954.42,0,2,Low-Value
179,16838,196,2,61,0,1126.66,0,2,Low-Value
180,12426,194,2,82,0,1311.41,0,2,Low-Value
181,17171,288,2,25,0,384.59,0,2,Low-Value
182,17789,280,2,29,0,397.15,0,2,Low-Value
183,17931,133,2,357,0,3270.91,0,2,Low-Value
184,13659,196,2,288,0,4706.43,0,2,Low-Value
185,14584,168,2,219,0,1725.16,0,2,Low-Value
186,16447,135,2,68,0,727.1,0,2,Low-Value
187,18218,205,2,41,0,1086.1399999999999,0,2,Low-Value
188,14890,253,2,57,0,817.25,0,2,Low-Value
189,17763,262,2,20,0,51.15,0,2,Low-Value
190,12891,185,2,12,0,819.5,0,2,Low-Value
191,16948,138,2,43,0,868.77,0,2,Low-Value
192,12945,287,2,51,0,900.11,0,2,Low-Value
193,16619,253,2,118,0,1916.53,0,2,Low-Value
194,17259,147,2,230,0,1452.39,0,2,Low-Value
195,17829,298,2,172,0,4680.42,0,2,Low-Value
196,13513,126,2,42,0,796.99,0,2,Low-Value
197,13052,211,2,248,0,3119.33,0,2,Low-Value
198,17358,302,2,146,0,861.01,0,2,Low-Value
199,16471,274,2,64,0,1186.18,0,2,Low-Value
200,14740,190,2,238,0,4068.86,0,2,Low-Value
201,18009,234,2,186,0,2065.48,0,2,Low-Value
202,14770,231,2,198,0,3624.89,0,2,Low-Value
203,16913,289,2,18,0,423.90999999999997,0,2,Low-Value
204,14459,154,2,114,0,5339.1410000000005,0,2,Low-Value
205,16807,142,2,144,0,2064.88,0,2,Low-Value
206,15149,133,2,69,0,1554.6100000000001,0,2,Low-Value
207,13561,215,2,229,0,1803.4,0,2,Low-Value
208,15219,175,2,26,0,685.45,0,2,Low-Value
209,16037,269,2,73,0,1489.44,0,2,Low-Value
210,12809,167,2,89,0,1705.34,0,2,Low-Value
211,16520,185,2,354,0,2131.68,0,2,Low-Value
212,13663,178,2,101,0,2013.6100000000001,0,2,Low-Value
213,16947,235,2,60,0,896.73,0,2,Low-Value
214,13294,189,2,102,0,1689.53,0,2,Low-Value
215,16461,177,2,252,0,1545.83,0,2,Low-Value
216,18151,134,2,107,0,1853.94,0,2,Low-Value
217,16096,263,2,66,0,1584.97,0,2,Low-Value
218,17718,231,2,24,0,386.98,0,2,Low-Value
219,13476,178,2,109,0,1915.77,0,2,Low-Value
220,14957,252,2,28,0,261.69,0,2,Low-Value
221,13508,243,2,28,0,287.05,0,2,Low-Value
222,17325,279,2,39,0,609.5699999999999,0,2,Low-Value
223,17542,269,2,64,0,340.85,0,2,Low-Value
224,12514,266,2,84,0,1597.76,0,2,Low-Value
225,17960,170,2,37,0,135.08,0,2,Low-Value
226,16275,196,2,111,0,2151.11,0,2,Low-Value
227,17438,246,2,73,0,1412.6200000000001,0,2,Low-Value
228,15437,261,2,57,0,393.45,0,2,Low-Value
229,15921,172,2,79,0,775.26,0,2,Low-Value
230,16756,214,2,82,0,1287.42,0,2,Low-Value
231,13484,240,2,40,0,767.32,0,2,Low-Value
232,14924,245,2,31,0,931.01,0,2,Low-Value
233,14403,129,2,33,0,1822.76,0,2,Low-Value
234,16611,185,2,111,0,1776.63,0,2,Low-Value
235,17065,142,2,13,0,82.35,0,2,Low-Value
236,16586,248,2,28,0,1462.78,0,2,Low-Value
237,15665,167,2,286,0,3987.07,0,2,Low-Value
238,17849,217,2,50,0,1063.76,0,2,Low-Value
239,14645,156,2,54,0,840.24,0,2,Low-Value
240,14195,201,2,22,0,2381.24,0,2,Low-Value
241,14873,209,2,49,0,854.13,0,2,Low-Value
242,15775,244,2,9,0,150.5,0,2,Low-Value
243,15918,190,2,61,0,582.88,0,2,Low-Value
244,14400,140,2,77,0,1703.0,0,2,Low-Value
245,13243,202,2,205,0,1220.38,0,2,Low-Value
246,17349,178,2,85,0,772.41,0,2,Low-Value
247,16943,211,2,37,0,816.73,0,2,Low-Value
248,16716,266,2,9,0,1568.2800000000002,0,2,Low-Value
249,17472,190,2,223,0,922.35,0,2,Low-Value
250,17051,193,2,155,0,706.49,0,2,Low-Value
251,18078,216,2,73,0,725.53,0,2,Low-Value
252,12639,238,2,64,0,1312.37,0,2,Low-Value
253,13151,202,2,164,0,2396.16,0,2,Low-Value
254,13482,231,2,20,0,336.09,0,2,Low-Value
255,13706,302,2,38,0,631.17,0,2,Low-Value
256,14762,263,2,30,0,417.57,0,2,Low-Value
257,14344,126,2,230,0,2993.05,0,2,Low-Value
258,15869,276,2,34,0,321.11,0,2,Low-Value
259,15374,128,2,10,0,307.32,0,2,Low-Value
260,13900,182,2,96,0,1608.09,0,2,Low-Value
261,17582,235,2,123,0,1429.95,0,2,Low-Value
262,15552,216,2,30,0,252.52,0,2,Low-Value
263,13684,285,2,112,0,544.42,0,2,Low-Value
264,17046,156,2,85,0,1906.07,0,2,Low-Value
265,14935,296,2,26,0,2849.83,0,2,Low-Value
266,17464,157,2,41,0,816.54,0,2,Low-Value
267,17217,233,2,27,0,210.1,0,2,Low-Value
268,13856,168,2,62,0,1058.88,0,2,Low-Value
269,13803,254,2,79,0,1319.1100000000001,0,2,Low-Value
270,17889,211,2,116,0,746.42,0,2,Low-Value
271,13059,249,2,201,0,2261.2200000000003,0,2,Low-Value
272,18056,287,2,31,0,539.75,0,2,Low-Value
273,16377,266,2,10,0,1308.48,0,2,Low-Value
274,14692,136,2,160,0,1705.6399999999999,0,2,Low-Value
275,16054,144,2,127,0,2090.68,0,2,Low-Value
276,14489,206,2,100,0,1574.93,0,2,Low-Value
277,16654,140,2,76,0,1477.77,0,2,Low-Value
278,12770,210,2,37,0,2975.95,0,2,Low-Value
